date,metric_name,numerator,denominator
2024-01-01,daily_sales,15000,1
2024-01-01,conversion_rate,50,5000
2024-01-01,avg_order_value,15000,100
2024-01-02,daily_sales,16500,1
2024-01-02,conversion_rate,55,5200
2024-01-02,avg_order_value,16500,110
2024-01-03,daily_sales,14800,1
2024-01-03,conversion_rate,48,4900
2024-01-03,avg_order_value,14800,98
2024-01-04,daily_sales,17200,1
2024-01-04,conversion_rate,58,5400
2024-01-04,avg_order_value,17200,115
2024-01-05,daily_sales,16900,1
2024-01-05,conversion_rate,56,5300
2024-01-05,avg_order_value,16900,112
2024-01-06,daily_sales,18500,1
2024-01-06,conversion_rate,62,5800
2024-01-06,avg_order_value,18500,123
2024-01-07,daily_sales,17800,1
2024-01-07,conversion_rate,59,5600
2024-01-07,avg_order_value,17800,118
2024-01-08,daily_sales,16200,1
2024-01-08,conversion_rate,54,5100
2024-01-08,avg_order_value,16200,108
2024-01-09,daily_sales,15900,1
2024-01-09,conversion_rate,53,5000
2024-01-09,avg_order_value,15900,106
2024-01-10,daily_sales,17400,1
2024-01-10,conversion_rate,58,5500
2024-01-10,avg_order_value,17400,116
2024-01-11,daily_sales,16800,1
2024-01-11,conversion_rate,56,5300
2024-01-11,avg_order_value,16800,112
2024-01-12,daily_sales,18200,1
2024-01-12,conversion_rate,61,5700
2024-01-12,avg_order_value,18200,121
2024-01-13,daily_sales,19000,1
2024-01-13,conversion_rate,63,6000
2024-01-13,avg_order_value,19000,126
2024-01-14,daily_sales,17600,1
2024-01-14,conversion_rate,59,5500
2024-01-14,avg_order_value,17600,117
2024-01-15,daily_sales,16300,1
2024-01-15,conversion_rate,54,5100
2024-01-15,avg_order_value,16300,108
2024-01-16,daily_sales,17100,1
2024-01-16,conversion_rate,57,5400
2024-01-16,avg_order_value,17100,114
2024-01-17,daily_sales,18900,1
2024-01-17,conversion_rate,63,5900
2024-01-17,avg_order_value,18900,125
2024-01-18,daily_sales,17700,1
2024-01-18,conversion_rate,59,5600
2024-01-18,avg_order_value,17700,118
2024-01-19,daily_sales,16400,1
2024-01-19,conversion_rate,55,5200
2024-01-19,avg_order_value,16400,109
2024-01-20,daily_sales,18100,1
2024-01-20,conversion_rate,60,5700
2024-01-20,avg_order_value,18100,120
2024-01-21,daily_sales,19500,1
2024-01-21,conversion_rate,65,6100
2024-01-21,avg_order_value,19500,130
2024-01-22,daily_sales,17900,1
2024-01-22,conversion_rate,60,5600
2024-01-22,avg_order_value,17900,119
2024-01-23,daily_sales,16600,1
2024-01-23,conversion_rate,55,5200
2024-01-23,avg_order_value,16600,110
2024-01-24,daily_sales,17300,1
2024-01-24,conversion_rate,58,5500
2024-01-24,avg_order_value,17300,115
2024-01-25,daily_sales,18700,1
2024-01-25,conversion_rate,62,5800
2024-01-25,avg_order_value,18700,124
2024-01-26,daily_sales,17400,1
2024-01-26,conversion_rate,58,5400
2024-01-26,avg_order_value,17400,116
2024-01-27,daily_sales,19200,1
2024-01-27,conversion_rate,64,6000
2024-01-27,avg_order_value,19200,128
2024-01-28,daily_sales,18600,1
2024-01-28,conversion_rate,62,5800
2024-01-28,avg_order_value,18600,124
2024-01-29,daily_sales,17000,1
2024-01-29,conversion_rate,57,5400
2024-01-29,avg_order_value,17000,113
2024-01-30,daily_sales,18300,1
2024-01-30,conversion_rate,61,5700
2024-01-30,avg_order_value,18300,122
